Group,Role,Curation Tool,Contact for Annotation Review,Contact name & Contact GitHub ID,Expertise/Domains of interest
° Wikidata,,,,Andrew Su @andrewsu,
° Wikidata,,,,Derek @cdjow2019 ,
Xenbase,Curation,Noctua,@malcolmfisher103,Malcolm Fisher @malcolmfisher103,Xenopus
YuBioLab,,,,,
ZFIN,,,,,
° ZFIN,Curation,Noctua,,Doug Howe @doughowe,Zebra fish
° ZFIN,Pipeline and data,Noctua,,Leyla Ruzicka @LeylaR,ZFIN technical
° ZFIN,Curation,Noctua,@sramachand,Sridhar Ramanchandran @sramachand,ZFIN curation
Domain expert,,,,@khybiske,Chlamydia
Domain expert,,,,@putmantime,Chlamydia
